python_tag,benchmark,class,mode,threads,rep,timeout
3.13t,CG,S,2,1,1,259000
3.14t,CG,S,2,1,1,259000
3.15t,CG,S,2,1,1,259000
3.13t,CG,S,2,1,2,259000
3.14t,CG,S,2,1,2,259000
3.15t,CG,S,2,1,2,259000
3.13t,CG,S,2,1,3,259000
3.14t,CG,S,2,1,3,259000
3.15t,CG,S,2,1,3,259000
3.13t,CG,S,2,1,4,259000
3.14t,CG,S,2,1,4,259000
3.15t,CG,S,2,1,4,259000
3.13t,CG,S,2,1,5,259000
3.14t,CG,S,2,1,5,259000
3.15t,CG,S,2,1,5,259000
3.13t,CG,S,2,4,1,259000
3.14t,CG,S,2,4,1,259000
3.15t,CG,S,2,4,1,259000
3.13t,CG,S,2,4,2,259000
3.14t,CG,S,2,4,2,259000
3.15t,CG,S,2,4,2,259000
3.13t,CG,S,2,4,3,259000
3.14t,CG,S,2,4,3,259000
3.15t,CG,S,2,4,3,259000
3.13t,CG,S,2,4,4,259000
3.14t,CG,S,2,4,4,259000
3.15t,CG,S,2,4,4,259000
3.13t,CG,S,2,4,5,259000
3.14t,CG,S,2,4,5,259000
3.15t,CG,S,2,4,5,259000
3.13t,CG,S,2,16,1,259000
3.14t,CG,S,2,16,1,259000
3.15t,CG,S,2,16,1,259000
3.13t,CG,S,2,16,2,259000
3.14t,CG,S,2,16,2,259000
3.15t,CG,S,2,16,2,259000
3.13t,CG,S,2,16,3,259000
3.14t,CG,S,2,16,3,259000
3.15t,CG,S,2,16,3,259000
3.13t,CG,S,2,16,4,259000
3.14t,CG,S,2,16,4,259000
3.15t,CG,S,2,16,4,259000
3.13t,CG,S,2,16,5,259000
3.14t,CG,S,2,16,5,259000
3.15t,CG,S,2,16,5,259000
3.13t,CG,S,2,32,1,259000
3.14t,CG,S,2,32,1,259000
3.15t,CG,S,2,32,1,259000
3.13t,CG,S,2,32,2,259000
3.14t,CG,S,2,32,2,259000
3.15t,CG,S,2,32,2,259000
3.13t,CG,S,2,32,3,259000
3.14t,CG,S,2,32,3,259000
3.15t,CG,S,2,32,3,259000
3.13t,CG,S,2,32,4,259000
3.14t,CG,S,2,32,4,259000
3.15t,CG,S,2,32,4,259000
3.13t,CG,S,2,32,5,259000
3.14t,CG,S,2,32,5,259000
3.15t,CG,S,2,32,5,259000
3.13t,CG,S,3,1,1,259000
3.14t,CG,S,3,1,1,259000
3.15t,CG,S,3,1,1,259000
3.13t,CG,S,3,1,2,259000
3.14t,CG,S,3,1,2,259000
3.15t,CG,S,3,1,2,259000
3.13t,CG,S,3,1,3,259000
3.14t,CG,S,3,1,3,259000
3.15t,CG,S,3,1,3,259000
3.13t,CG,S,3,1,4,259000
3.14t,CG,S,3,1,4,259000
3.15t,CG,S,3,1,4,259000
3.13t,CG,S,3,1,5,259000
3.14t,CG,S,3,1,5,259000
3.15t,CG,S,3,1,5,259000
3.13t,CG,S,3,4,1,259000
3.14t,CG,S,3,4,1,259000
3.15t,CG,S,3,4,1,259000
3.13t,CG,S,3,4,2,259000
3.14t,CG,S,3,4,2,259000
3.15t,CG,S,3,4,2,259000
3.13t,CG,S,3,4,3,259000
3.14t,CG,S,3,4,3,259000
3.15t,CG,S,3,4,3,259000
3.13t,CG,S,3,4,4,259000
3.14t,CG,S,3,4,4,259000
3.15t,CG,S,3,4,4,259000
3.13t,CG,S,3,4,5,259000
3.14t,CG,S,3,4,5,259000
3.15t,CG,S,3,4,5,259000
3.13t,CG,S,3,16,1,259000
3.14t,CG,S,3,16,1,259000
3.15t,CG,S,3,16,1,259000
3.13t,CG,S,3,16,2,259000
3.14t,CG,S,3,16,2,259000
3.15t,CG,S,3,16,2,259000
3.13t,CG,S,3,16,3,259000
3.14t,CG,S,3,16,3,259000
3.15t,CG,S,3,16,3,259000
3.13t,CG,S,3,16,4,259000
3.14t,CG,S,3,16,4,259000
3.15t,CG,S,3,16,4,259000
3.13t,CG,S,3,16,5,259000
3.14t,CG,S,3,16,5,259000
3.15t,CG,S,3,16,5,259000
3.13t,CG,S,3,32,1,259000
3.14t,CG,S,3,32,1,259000
3.15t,CG,S,3,32,1,259000
3.13t,CG,S,3,32,2,259000
3.14t,CG,S,3,32,2,259000
3.15t,CG,S,3,32,2,259000
3.13t,CG,S,3,32,3,259000
3.14t,CG,S,3,32,3,259000
3.15t,CG,S,3,32,3,259000
3.13t,CG,S,3,32,4,259000
3.14t,CG,S,3,32,4,259000
3.15t,CG,S,3,32,4,259000
3.13t,CG,S,3,32,5,259000
3.14t,CG,S,3,32,5,259000
3.15t,CG,S,3,32,5,259000
3.13t,EP,S,2,1,1,259000
3.14t,EP,S,2,1,1,259000
3.15t,EP,S,2,1,1,259000
3.13t,EP,S,2,1,2,259000
3.14t,EP,S,2,1,2,259000
3.15t,EP,S,2,1,2,259000
3.13t,EP,S,2,1,3,259000
3.14t,EP,S,2,1,3,259000
3.15t,EP,S,2,1,3,259000
3.13t,EP,S,2,1,4,259000
3.14t,EP,S,2,1,4,259000
3.15t,EP,S,2,1,4,259000
3.13t,EP,S,2,1,5,259000
3.14t,EP,S,2,1,5,259000
3.15t,EP,S,2,1,5,259000
3.13t,EP,S,2,4,1,259000
3.14t,EP,S,2,4,1,259000
3.15t,EP,S,2,4,1,259000
3.13t,EP,S,2,4,2,259000
3.14t,EP,S,2,4,2,259000
3.15t,EP,S,2,4,2,259000
3.13t,EP,S,2,4,3,259000
3.14t,EP,S,2,4,3,259000
3.15t,EP,S,2,4,3,259000
3.13t,EP,S,2,4,4,259000
3.14t,EP,S,2,4,4,259000
3.15t,EP,S,2,4,4,259000
3.13t,EP,S,2,4,5,259000
3.14t,EP,S,2,4,5,259000
3.15t,EP,S,2,4,5,259000
3.13t,EP,S,2,16,1,259000
3.14t,EP,S,2,16,1,259000
3.15t,EP,S,2,16,1,259000
3.13t,EP,S,2,16,2,259000
3.14t,EP,S,2,16,2,259000
3.15t,EP,S,2,16,2,259000
3.13t,EP,S,2,16,3,259000
3.14t,EP,S,2,16,3,259000
3.15t,EP,S,2,16,3,259000
3.13t,EP,S,2,16,4,259000
3.14t,EP,S,2,16,4,259000
3.15t,EP,S,2,16,4,259000
3.13t,EP,S,2,16,5,259000
3.14t,EP,S,2,16,5,259000
3.15t,EP,S,2,16,5,259000
3.13t,EP,S,2,32,1,259000
3.14t,EP,S,2,32,1,259000
3.15t,EP,S,2,32,1,259000
3.13t,EP,S,2,32,2,259000
3.14t,EP,S,2,32,2,259000
3.15t,EP,S,2,32,2,259000
3.13t,EP,S,2,32,3,259000
3.14t,EP,S,2,32,3,259000
3.15t,EP,S,2,32,3,259000
3.13t,EP,S,2,32,4,259000
3.14t,EP,S,2,32,4,259000
3.15t,EP,S,2,32,4,259000
3.13t,EP,S,2,32,5,259000
3.14t,EP,S,2,32,5,259000
3.15t,EP,S,2,32,5,259000
3.13t,EP,S,3,1,1,259000
3.14t,EP,S,3,1,1,259000
3.15t,EP,S,3,1,1,259000
3.13t,EP,S,3,1,2,259000
3.14t,EP,S,3,1,2,259000
3.15t,EP,S,3,1,2,259000
3.13t,EP,S,3,1,3,259000
3.14t,EP,S,3,1,3,259000
3.15t,EP,S,3,1,3,259000
3.13t,EP,S,3,1,4,259000
3.14t,EP,S,3,1,4,259000
3.15t,EP,S,3,1,4,259000
3.13t,EP,S,3,1,5,259000
3.14t,EP,S,3,1,5,259000
3.15t,EP,S,3,1,5,259000
3.13t,EP,S,3,4,1,259000
3.14t,EP,S,3,4,1,259000
3.15t,EP,S,3,4,1,259000
3.13t,EP,S,3,4,2,259000
3.14t,EP,S,3,4,2,259000
3.15t,EP,S,3,4,2,259000
3.13t,EP,S,3,4,3,259000
3.14t,EP,S,3,4,3,259000
3.15t,EP,S,3,4,3,259000
3.13t,EP,S,3,4,4,259000
3.14t,EP,S,3,4,4,259000
3.15t,EP,S,3,4,4,259000
3.13t,EP,S,3,4,5,259000
3.14t,EP,S,3,4,5,259000
3.15t,EP,S,3,4,5,259000
3.13t,EP,S,3,16,1,259000
3.14t,EP,S,3,16,1,259000
3.15t,EP,S,3,16,1,259000
3.13t,EP,S,3,16,2,259000
3.14t,EP,S,3,16,2,259000
3.15t,EP,S,3,16,2,259000
3.13t,EP,S,3,16,3,259000
3.14t,EP,S,3,16,3,259000
3.15t,EP,S,3,16,3,259000
3.13t,EP,S,3,16,4,259000
3.14t,EP,S,3,16,4,259000
3.15t,EP,S,3,16,4,259000
3.13t,EP,S,3,16,5,259000
3.14t,EP,S,3,16,5,259000
3.15t,EP,S,3,16,5,259000
3.13t,EP,S,3,32,1,259000
3.14t,EP,S,3,32,1,259000
3.15t,EP,S,3,32,1,259000
3.13t,EP,S,3,32,2,259000
3.14t,EP,S,3,32,2,259000
3.15t,EP,S,3,32,2,259000
3.13t,EP,S,3,32,3,259000
3.14t,EP,S,3,32,3,259000
3.15t,EP,S,3,32,3,259000
3.13t,EP,S,3,32,4,259000
3.14t,EP,S,3,32,4,259000
3.15t,EP,S,3,32,4,259000
3.13t,EP,S,3,32,5,259000
3.14t,EP,S,3,32,5,259000
3.15t,EP,S,3,32,5,259000
3.13t,FT,S,2,1,1,259000
3.14t,FT,S,2,1,1,259000
3.15t,FT,S,2,1,1,259000
3.13t,FT,S,2,1,2,259000
3.14t,FT,S,2,1,2,259000
3.15t,FT,S,2,1,2,259000
3.13t,FT,S,2,1,3,259000
3.14t,FT,S,2,1,3,259000
3.15t,FT,S,2,1,3,259000
3.13t,FT,S,2,1,4,259000
3.14t,FT,S,2,1,4,259000
3.15t,FT,S,2,1,4,259000
3.13t,FT,S,2,1,5,259000
3.14t,FT,S,2,1,5,259000
3.15t,FT,S,2,1,5,259000
3.13t,FT,S,2,4,1,259000
3.14t,FT,S,2,4,1,259000
3.15t,FT,S,2,4,1,259000
3.13t,FT,S,2,4,2,259000
3.14t,FT,S,2,4,2,259000
3.15t,FT,S,2,4,2,259000
3.13t,FT,S,2,4,3,259000
3.14t,FT,S,2,4,3,259000
3.15t,FT,S,2,4,3,259000
3.13t,FT,S,2,4,4,259000
3.14t,FT,S,2,4,4,259000
3.15t,FT,S,2,4,4,259000
3.13t,FT,S,2,4,5,259000
3.14t,FT,S,2,4,5,259000
3.15t,FT,S,2,4,5,259000
3.13t,FT,S,2,16,1,259000
3.14t,FT,S,2,16,1,259000
3.15t,FT,S,2,16,1,259000
3.13t,FT,S,2,16,2,259000
3.14t,FT,S,2,16,2,259000
3.15t,FT,S,2,16,2,259000
3.13t,FT,S,2,16,3,259000
3.14t,FT,S,2,16,3,259000
3.15t,FT,S,2,16,3,259000
3.13t,FT,S,2,16,4,259000
3.14t,FT,S,2,16,4,259000
3.15t,FT,S,2,16,4,259000
3.13t,FT,S,2,16,5,259000
3.14t,FT,S,2,16,5,259000
3.15t,FT,S,2,16,5,259000
3.13t,FT,S,2,32,1,259000
3.14t,FT,S,2,32,1,259000
3.15t,FT,S,2,32,1,259000
3.13t,FT,S,2,32,2,259000
3.14t,FT,S,2,32,2,259000
3.15t,FT,S,2,32,2,259000
3.13t,FT,S,2,32,3,259000
3.14t,FT,S,2,32,3,259000
3.15t,FT,S,2,32,3,259000
3.13t,FT,S,2,32,4,259000
3.14t,FT,S,2,32,4,259000
3.15t,FT,S,2,32,4,259000
3.13t,FT,S,2,32,5,259000
3.14t,FT,S,2,32,5,259000
3.15t,FT,S,2,32,5,259000
3.13t,FT,S,3,1,1,259000
3.14t,FT,S,3,1,1,259000
3.15t,FT,S,3,1,1,259000
3.13t,FT,S,3,1,2,259000
3.14t,FT,S,3,1,2,259000
3.15t,FT,S,3,1,2,259000
3.13t,FT,S,3,1,3,259000
3.14t,FT,S,3,1,3,259000
3.15t,FT,S,3,1,3,259000
3.13t,FT,S,3,1,4,259000
3.14t,FT,S,3,1,4,259000
3.15t,FT,S,3,1,4,259000
3.13t,FT,S,3,1,5,259000
3.14t,FT,S,3,1,5,259000
3.15t,FT,S,3,1,5,259000
3.13t,FT,S,3,4,1,259000
