python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,S,2,1,1,0,False,SUCCESSFUL,15.77,4.23,80.2187283039093,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-14,7140682,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t01__r01.txt
3.13t,CG,S,2,1,2,0,False,SUCCESSFUL,15.79,4.22,74.60680508613586,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-14,7140682,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t01__r02.txt
3.13t,CG,S,2,1,3,0,False,SUCCESSFUL,16.13,4.13,74.79685282707214,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-14,7140682,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t01__r03.txt
3.13t,CG,S,2,1,4,0,False,SUCCESSFUL,15.77,4.23,75.11561417579651,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-24,7140683,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t01__r04.txt
3.13t,CG,S,2,1,5,0,False,SUCCESSFUL,15.77,4.23,74.27465438842773,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-24,7140683,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t01__r05.txt
3.13t,CG,S,2,4,1,0,False,SUCCESSFUL,19.04,3.5,77.12667489051819,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-24,7140683,2,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t04__r01.txt
3.13t,CG,S,2,4,2,0,False,SUCCESSFUL,18.9,3.53,78.78337001800537,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-35,7140684,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t04__r02.txt
3.13t,CG,S,2,4,3,0,False,SUCCESSFUL,18.76,3.55,80.2833743095398,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-35,7140684,3,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t04__r03.txt
3.13t,CG,S,2,4,4,0,False,SUCCESSFUL,18.74,3.56,82.7889494895935,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140685,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t04__r04.txt
3.13t,CG,S,2,4,5,0,False,SUCCESSFUL,18.76,3.55,77.07982134819031,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140685,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t04__r05.txt
3.13t,CG,S,2,16,1,0,False,SUCCESSFUL,29.42,2.27,88.42609429359436,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140685,4,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t16__r01.txt
3.13t,CG,S,2,16,2,0,False,SUCCESSFUL,29.34,2.27,89.18689751625061,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140938,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t16__r02.txt
3.13t,CG,S,2,16,3,0,False,SUCCESSFUL,29.31,2.27,88.13190293312073,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140938,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t16__r03.txt
3.13t,CG,S,2,16,4,0,False,SUCCESSFUL,29.48,2.26,89.04807615280151,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-46,7140938,5,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t16__r04.txt
3.13t,CG,S,2,16,5,0,False,SUCCESSFUL,29.73,2.24,90.213214635849,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-14,7140939,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t16__r05.txt
3.13t,CG,S,2,32,1,0,False,SUCCESSFUL,45.2,1.47,105.80839014053345,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-14,7140939,6,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t32__r01.txt
3.13t,CG,S,2,32,2,0,False,SUCCESSFUL,44.91,1.48,104.98438668251038,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-24,7140940,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t32__r02.txt
3.13t,CG,S,2,32,3,0,False,SUCCESSFUL,45.0,1.48,105.06297850608826,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",clk-24,7140940,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130136_versions/raw/py313t__CG__S__m2__t32__r03.txt
