python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.13t,CG,S,2,1,5,5,15.77,15.845999999999998,4.23,4.208
3.13t,CG,S,2,4,5,5,18.74,18.84,3.56,3.5379999999999994
3.13t,CG,S,2,16,5,5,29.31,29.456,2.27,2.262
3.13t,CG,S,2,32,5,5,44.71,45.088,1.49,1.476
3.13t,CG,S,3,1,5,5,0.19,0.19,343.01,342.66999999999996
3.13t,CG,S,3,4,5,5,0.27,0.274,244.99,243.33
3.13t,CG,S,3,16,5,5,0.6,0.6,111.73,111.15599999999999
3.13t,CG,S,3,32,5,5,1.09,1.09,61.34,61.132000000000005
3.13t,CG,W,2,1,3,3,101.71,103.32333333333332,4.14,4.073333333333333
3.13t,CG,W,2,4,3,3,104.4,104.49333333333334,4.03,4.026666666666666
3.13t,CG,W,2,16,3,3,97.81,98.58999999999999,4.3,4.266666666666667
3.13t,CG,W,2,32,3,3,111.78,118.66666666666667,3.76,3.56
3.13t,CG,W,3,1,3,3,0.95,1.1166666666666665,441.77,381.47333333333336
3.13t,CG,W,3,4,3,3,1.03,1.2,407.81,354.16333333333336
3.13t,CG,W,3,16,3,3,1.61,1.6133333333333333,260.55,260.3933333333334
3.13t,CG,W,3,32,3,3,2.11,2.11,199.7,199.63333333333333
3.13t,EP,S,2,1,5,5,37.19,37.652,0.9,0.89
3.13t,EP,S,2,4,5,5,37.56,38.204,0.89,0.8800000000000001
3.13t,EP,S,2,16,5,5,37.6,38.17,0.89,0.8800000000000001
3.13t,EP,S,2,32,5,5,37.73,38.153999999999996,0.89,0.8800000000000001
3.13t,EP,S,3,1,5,5,1.27,1.27,26.44,26.432
3.13t,EP,S,3,4,5,5,1.28,1.28,26.27,26.264
3.13t,EP,S,3,16,5,5,1.3,1.3,25.87,25.860000000000003
3.13t,EP,S,3,32,5,5,1.32,1.324,25.35,25.330000000000002
3.13t,EP,W,2,1,3,3,74.36,74.85000000000001,0.9,0.8933333333333334
3.13t,EP,W,2,4,3,3,74.76,75.08,0.9,0.8933333333333334
3.13t,EP,W,2,16,3,3,75.03,76.61333333333333,0.89,0.8733333333333334
3.13t,EP,W,2,32,3,3,75.19,76.93666666666667,0.89,0.87
3.13t,EP,W,3,1,3,3,2.53,2.5366666666666666,26.47,26.436666666666667
3.13t,EP,W,3,4,3,3,2.54,2.54,26.38,26.373333333333335
3.13t,EP,W,3,16,3,3,2.57,2.57,26.14,26.126666666666665
