python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,A,3,1,1,0,False,SUCCESSFUL,4.45,336.14,159.13956093788147,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-36,7171736,68,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t01__r01.txt
3.15t,CG,A,3,1,2,0,False,SUCCESSFUL,4.45,336.1,158.8543300628662,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-36,7171736,68,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t01__r02.txt
3.15t,CG,A,3,1,3,0,False,SUCCESSFUL,4.45,336.19,159.19091773033142,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-36,7171736,68,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t01__r03.txt
3.15t,CG,A,3,2,1,0,False,SUCCESSFUL,4.49,333.13,158.86832547187805,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-36,7171736,68,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t02__r01.txt
3.15t,CG,A,3,2,2,0,False,SUCCESSFUL,3.6,416.02,138.8609528541565,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t02__r02.txt
3.15t,CG,A,3,2,3,0,False,SUCCESSFUL,3.6,416.17,138.4621217250824,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t02__r03.txt
3.15t,CG,A,3,4,1,0,False,SUCCESSFUL,3.67,407.71,138.61042284965515,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t04__r01.txt
3.15t,CG,A,3,4,2,0,False,SUCCESSFUL,3.67,407.57,137.9179105758667,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t04__r02.txt
3.15t,CG,A,3,4,3,0,False,SUCCESSFUL,3.67,407.55,136.99067091941833,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t04__r03.txt
3.15t,CG,A,3,8,1,0,False,SUCCESSFUL,3.82,391.94,137.2151870727539,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",clk-103,7171737,69,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260526_130149_full315/raw/py315t__CG__A__m3__t08__r01.txt
