python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.15t,CG,A,3,1,3,3,4.45,4.45,336.19,336.1433333333334
3.15t,CG,A,3,2,3,3,3.6,3.896666666666667,416.17,388.44
3.15t,CG,A,3,4,3,3,3.67,3.67,407.71,407.60999999999996
3.15t,CG,A,3,8,3,3,3.82,3.82,392.1,391.94
3.15t,CG,A,3,16,3,3,5.09,5.09,294.05,294.0
3.15t,CG,A,3,32,3,3,5.85,5.849999999999999,255.74,255.72000000000003
3.15t,CG,S,0,1,3,3,20.39,20.53,3.27,3.2466666666666666
3.15t,CG,S,0,2,3,3,22.44,22.513333333333335,2.97,2.9600000000000004
3.15t,CG,S,0,4,3,3,26.97,27.22666666666667,2.47,2.4466666666666668
3.15t,CG,S,0,8,3,3,35.68,35.82333333333333,1.87,1.8633333333333333
3.15t,CG,S,0,16,3,3,53.02,53.629999999999995,1.26,1.2433333333333334
3.15t,CG,S,0,32,3,3,88.74,90.64666666666666,0.75,0.7366666666666667
3.15t,CG,S,1,1,3,3,20.43,20.62,3.26,3.23
3.15t,CG,S,1,2,3,3,22.56,22.616666666666664,2.95,2.9433333333333334
3.15t,CG,S,1,4,3,3,23.84,23.89,2.8,2.7899999999999996
3.15t,CG,S,1,8,3,3,31.15,31.346666666666664,2.14,2.1266666666666665
3.15t,CG,S,1,16,3,3,48.13,49.330000000000005,1.38,1.3499999999999999
3.15t,CG,S,1,32,3,3,88.9,89.14333333333333,0.75,0.75
3.15t,CG,S,2,1,3,3,17.78,17.86,3.75,3.733333333333333
3.15t,CG,S,2,2,3,3,18.46,18.64,3.61,3.5766666666666667
3.15t,CG,S,2,4,3,3,21.58,21.87,3.09,3.0499999999999994
3.15t,CG,S,2,8,3,3,27.51,27.61,2.42,2.4133333333333336
3.15t,CG,S,2,16,3,3,36.22,36.550000000000004,1.84,1.8233333333333335
3.15t,CG,S,2,32,3,3,63.82,64.23666666666666,1.04,1.0366666666666668
3.15t,CG,S,3,1,3,3,0.17,0.18000000000000002,401.05,375.94000000000005
3.15t,CG,S,3,2,3,3,0.24,0.24,282.49,279.2266666666667
3.15t,CG,S,3,4,3,3,0.31,0.31666666666666665,214.52,210.07000000000002
3.15t,CG,S,3,8,3,3,0.45,0.45333333333333337,147.99,146.43333333333334
3.15t,CG,S,3,16,3,3,0.76,0.7600000000000001,87.94,87.74000000000001
3.15t,CG,S,3,32,3,3,1.45,1.4566666666666668,46.07,45.846666666666664
3.15t,CG,W,2,1,3,3,115.06,116.89666666666666,3.66,3.6
3.15t,CG,W,2,2,3,3,115.82,117.11666666666667,3.63,3.59
3.15t,CG,W,2,4,3,3,119.66,119.97333333333334,3.52,3.51
3.15t,CG,W,2,8,3,3,125.66,125.73,3.35,3.3466666666666662
3.15t,CG,W,2,16,3,3,136.77,137.1,3.08,3.0700000000000003
3.15t,CG,W,2,32,3,3,161.99,162.77333333333334,2.6,2.5866666666666664
3.15t,CG,W,3,1,3,3,1.26,1.26,334.93,334.76
3.15t,CG,W,3,2,3,3,1.29,1.29,325.76,325.6433333333334
3.15t,CG,W,3,4,3,3,1.37,1.37,306.92,306.8
3.15t,CG,W,3,8,3,3,1.52,1.5200000000000002,276.88,276.68
3.15t,CG,W,3,16,3,3,1.83,1.83,230.37,229.64333333333335
3.15t,CG,W,3,32,3,3,2.52,2.53,166.67,166.36666666666667
3.15t,EP,A,3,1,3,3,18.15,19.7,29.58,27.343333333333334
3.15t,EP,A,3,2,3,3,18.14,18.146666666666665,29.6,29.583333333333332
3.15t,EP,A,3,4,3,3,18.15,18.626666666666665,29.57,28.853333333333335
3.15t,EP,A,3,8,3,3,18.17,18.173333333333336,29.55,29.540000000000003
3.15t,EP,A,3,16,3,3,18.2,18.216666666666665,29.49,29.47
3.15t,EP,A,3,32,3,3,18.26,18.263333333333335,29.4,29.396666666666665
3.15t,EP,S,0,1,3,3,52.55,53.123333333333335,0.64,0.6333333333333333
3.15t,EP,S,0,2,3,3,52.97,53.526666666666664,0.63,0.6266666666666666
3.15t,EP,S,0,4,3,3,52.83,53.050000000000004,0.64,0.6333333333333333
3.15t,EP,S,0,8,3,3,53.05,53.51333333333333,0.63,0.6266666666666666
3.15t,EP,S,0,16,3,3,53.37,53.626666666666665,0.63,0.6266666666666666
3.15t,EP,S,0,32,3,3,53.36,53.85,0.63,0.6233333333333334
3.15t,EP,S,1,1,3,3,52.37,52.47,0.64,0.64
3.15t,EP,S,1,2,3,3,52.94,53.31666666666666,0.63,0.63
3.15t,EP,S,1,4,3,3,53.27,53.67333333333334,0.63,0.6266666666666666
3.15t,EP,S,1,8,3,3,53.26,53.93666666666667,0.63,0.6233333333333334
3.15t,EP,S,1,16,3,3,53.35,53.74666666666667,0.63,0.6233333333333334
3.15t,EP,S,1,32,3,3,53.21,53.64666666666667,0.63,0.6266666666666666
3.15t,EP,S,2,1,3,3,43.62,43.93666666666667,0.77,0.7633333333333333
3.15t,EP,S,2,2,3,3,43.48,43.74,0.77,0.7666666666666666
3.15t,EP,S,2,4,3,3,43.56,43.946666666666665,0.77,0.7633333333333333
3.15t,EP,S,2,8,3,3,43.57,43.830000000000005,0.77,0.7666666666666666
3.15t,EP,S,2,16,3,3,43.62,44.01,0.77,0.7633333333333333
3.15t,EP,S,2,32,3,3,43.81,44.01,0.77,0.7633333333333333
3.15t,EP,S,3,1,3,3,1.28,1.28,26.23,26.203333333333333
3.15t,EP,S,3,2,3,3,1.28,1.28,26.18,26.176666666666666
3.15t,EP,S,3,4,3,3,1.28,1.2866666666666668,26.13,26.103333333333335
3.15t,EP,S,3,8,3,3,1.29,1.2966666666666666,25.93,25.903333333333332
3.15t,EP,S,3,16,3,3,1.32,1.32,25.51,25.50666666666667
3.15t,EP,S,3,32,3,3,1.35,1.3500000000000003,24.82,24.813333333333333
3.15t,EP,W,2,1,3,3,86.9,87.19333333333333,0.77,0.77
3.15t,EP,W,2,2,3,3,86.96,88.20333333333333,0.77,0.7600000000000001
3.15t,EP,W,2,4,3,3,87.35,87.79,0.77,0.7633333333333333
3.15t,EP,W,2,8,3,3,86.96,87.88333333333333,0.77,0.7633333333333333
3.15t,EP,W,2,16,3,3,87.58,87.73333333333333,0.77,0.7666666666666666
3.15t,EP,W,2,32,3,3,87.74,88.61666666666667,0.76,0.7566666666666667
3.15t,EP,W,3,1,3,3,2.27,2.4633333333333334,29.59,27.356666666666666
3.15t,EP,W,3,2,3,3,2.27,2.27,29.58,29.576666666666664
3.15t,EP,W,3,4,3,3,2.27,2.27,29.52,29.516666666666666
3.15t,EP,W,3,8,3,3,2.28,2.28,29.4,29.386666666666667
3.15t,EP,W,3,16,3,3,2.3,2.3033333333333332,29.16,29.13
3.15t,EP,W,3,32,3,3,2.34,2.34,28.7,28.679999999999996
3.15t,FT,A,3,1,3,3,53.67,53.86333333333334,132.97,132.49666666666667
3.15t,FT,A,3,2,3,3,54.1,54.13999999999999,131.9,131.81333333333336
3.15t,FT,A,3,4,3,3,54.18,54.32666666666666,131.73,131.36666666666667
3.15t,FT,A,3,8,3,3,54.74,55.43333333333334,130.36,128.76666666666668
3.15t,FT,A,3,16,3,3,54.93,55.19,129.92,129.31666666666666
3.15t,FT,A,3,32,3,3,56.12,62.61333333333334,127.15,114.62
3.15t,FT,S,0,1,3,3,40.4,40.52,4.39,4.373333333333334
3.15t,FT,S,0,2,3,3,41.1,41.25333333333333,4.31,4.293333333333333
3.15t,FT,S,0,4,3,3,41.69,41.76,4.25,4.243333333333333
3.15t,FT,S,0,8,3,3,42.2,43.56666666666666,4.2,4.076666666666667
3.15t,FT,S,0,16,3,3,43.14,43.199999999999996,4.11,4.103333333333333
3.15t,FT,S,0,32,3,3,43.7,44.01666666666667,4.05,4.023333333333333
3.15t,FT,S,1,1,3,3,40.2,40.29,4.41,4.3999999999999995
3.15t,FT,S,1,2,3,3,40.93,41.696666666666665,4.33,4.253333333333333
3.15t,FT,S,1,4,3,3,41.61,42.07333333333333,4.26,4.213333333333334
3.15t,FT,S,1,8,3,3,42.26,42.62,4.19,4.156666666666667
3.15t,FT,S,1,16,3,3,43.4,44.81,4.08,3.9599999999999995
3.15t,FT,S,1,32,3,3,44.02,44.23,4.02,4.003333333333333
3.15t,FT,S,2,1,3,3,37.46,38.050000000000004,4.73,4.656666666666667
3.15t,FT,S,2,2,3,3,38.23,38.46333333333333,4.63,4.6066666666666665
3.15t,FT,S,2,4,3,3,38.71,38.73666666666667,4.58,4.573333333333333
3.15t,FT,S,2,8,3,3,38.78,38.843333333333334,4.57,4.56
3.15t,FT,S,2,16,3,3,39.28,39.876666666666665,4.51,4.443333333333333
3.15t,FT,S,2,32,3,3,40.13,40.28666666666667,4.42,4.3999999999999995
3.15t,FT,S,3,1,3,3,2.5,2.52,70.86,70.35666666666667
3.15t,FT,S,3,2,3,3,2.55,2.5533333333333332,69.55,69.35333333333334
3.15t,FT,S,3,4,3,3,2.62,2.62,67.61,67.55
3.15t,FT,S,3,8,3,3,2.75,2.76,64.46,64.23333333333333
3.15t,FT,S,3,16,3,3,3.02,3.033333333333333,58.69,58.419999999999995
3.15t,FT,S,3,32,3,3,3.64,3.6666666666666665,48.62,48.330000000000005
3.15t,FT,W,2,1,3,3,71.27,71.75333333333333,5.23,5.193333333333333
3.15t,FT,W,2,2,3,3,72.85,73.29666666666667,5.12,5.083333333333333
3.15t,FT,W,2,4,3,3,73.87,74.91666666666667,5.04,4.976666666666667
3.15t,FT,W,2,8,3,3,77.13,77.39666666666666,4.83,4.8133333333333335
3.15t,FT,W,2,16,3,3,77.66,80.39666666666666,4.8,4.6433333333333335
3.15t,FT,W,2,32,3,3,79.22,91.27,4.7,4.12
3.15t,FT,W,3,1,3,3,5.03,5.076666666666667,74.03,73.35666666666667
3.15t,FT,W,3,2,3,3,5.09,5.096666666666667,73.19,73.11666666666666
3.15t,FT,W,3,4,3,3,4.49,4.503333333333333,83.09,82.78666666666668
3.15t,FT,W,3,8,3,3,4.58,4.603333333333333,81.36,81.00666666666666
3.15t,FT,W,3,16,3,3,4.82,5.113333333333333,77.34,73.27666666666667
3.15t,FT,W,3,32,3,3,6.21,6.236666666666667,60.0,59.74666666666667
3.15t,IS,A,3,1,3,3,0.55,0.55,153.36,152.18333333333334
3.15t,IS,A,3,2,3,3,0.59,0.59,143.14,143.01333333333332
3.15t,IS,A,3,4,3,3,0.65,0.65,129.71,129.32000000000002
3.15t,IS,A,3,8,3,3,0.81,0.81,103.64,103.34666666666665
3.15t,IS,A,3,16,3,3,1.14,1.15,73.27,72.79666666666667
3.15t,IS,A,3,32,3,3,1.84,1.8433333333333335,45.61,45.53
3.15t,IS,S,0,1,3,3,0.35,0.3499999999999999,1.86,1.8533333333333335
3.15t,IS,S,0,2,3,3,0.39,0.38999999999999996,1.7,1.7
3.15t,IS,S,0,4,3,3,0.44,0.4466666666666667,1.48,1.47
3.15t,IS,S,0,8,3,3,0.56,0.56,1.18,1.17
3.15t,IS,S,0,16,3,3,0.78,0.7833333333333333,0.84,0.8366666666666666
3.15t,IS,S,0,32,3,3,1.24,1.25,0.53,0.5233333333333333
3.15t,IS,S,1,1,3,3,0.35,0.35333333333333333,1.86,1.8466666666666667
3.15t,IS,S,1,2,3,3,0.39,0.38999999999999996,1.7,1.6966666666666665
3.15t,IS,S,1,4,3,3,0.45,0.45,1.47,1.4666666666666668
3.15t,IS,S,1,8,3,3,0.56,0.56,1.17,1.17
3.15t,IS,S,1,16,3,3,0.79,0.79,0.83,0.83
3.15t,IS,S,1,32,3,3,1.27,1.2766666666666666,0.51,0.51
3.15t,IS,S,2,1,3,3,0.32,0.3233333333333333,2.02,2.0166666666666666
3.15t,IS,S,2,2,3,3,0.35,0.3499999999999999,1.89,1.8733333333333333
3.15t,IS,S,2,4,3,3,0.39,0.39333333333333337,1.67,1.66
3.15t,IS,S,2,8,3,3,0.48,0.48,1.36,1.3566666666666667
3.15t,IS,S,2,16,3,3,0.67,0.6766666666666667,0.98,0.9700000000000001
3.15t,IS,S,2,32,3,3,1.06,1.0666666666666667,0.62,0.6133333333333333
3.15t,IS,S,3,1,3,3,0.0,0.0,264.87,263.9866666666667
3.15t,IS,S,3,2,3,3,0.01,0.01,73.35,72.83333333333333
3.15t,IS,S,3,4,3,3,0.03,0.03,24.88,24.853333333333335
3.15t,IS,S,3,8,3,3,0.06,0.06,10.73,10.719999999999999
3.15t,IS,S,3,16,3,3,0.13,0.1366666666666667,4.89,4.753333333333333
3.15t,IS,S,3,32,3,3,0.32,0.32,2.04,2.033333333333333
3.15t,IS,W,2,1,3,3,5.68,5.716666666666666,1.85,1.8333333333333333
3.15t,IS,W,2,2,3,3,6.18,6.196666666666666,1.7,1.6966666666666665
3.15t,IS,W,2,4,3,3,7.13,7.136666666666667,1.47,1.47
