python_tag,benchmark,class,mode,threads,rep,timeout
3.15t,CG,S,0,1,1,259000
3.15t,CG,S,0,1,2,259000
3.15t,CG,S,0,1,3,259000
3.15t,CG,S,0,2,1,259000
3.15t,CG,S,0,2,2,259000
3.15t,CG,S,0,2,3,259000
3.15t,CG,S,0,4,1,259000
3.15t,CG,S,0,4,2,259000
3.15t,CG,S,0,4,3,259000
3.15t,CG,S,0,8,1,259000
3.15t,CG,S,0,8,2,259000
3.15t,CG,S,0,8,3,259000
3.15t,CG,S,0,16,1,259000
3.15t,CG,S,0,16,2,259000
3.15t,CG,S,0,16,3,259000
3.15t,CG,S,0,32,1,259000
3.15t,CG,S,0,32,2,259000
3.15t,CG,S,0,32,3,259000
3.15t,CG,S,1,1,1,259000
3.15t,CG,S,1,1,2,259000
3.15t,CG,S,1,1,3,259000
3.15t,CG,S,1,2,1,259000
3.15t,CG,S,1,2,2,259000
3.15t,CG,S,1,2,3,259000
3.15t,CG,S,1,4,1,259000
3.15t,CG,S,1,4,2,259000
3.15t,CG,S,1,4,3,259000
3.15t,CG,S,1,8,1,259000
3.15t,CG,S,1,8,2,259000
3.15t,CG,S,1,8,3,259000
3.15t,CG,S,1,16,1,259000
3.15t,CG,S,1,16,2,259000
3.15t,CG,S,1,16,3,259000
3.15t,CG,S,1,32,1,259000
3.15t,CG,S,1,32,2,259000
3.15t,CG,S,1,32,3,259000
3.15t,CG,S,2,1,1,259000
3.15t,CG,S,2,1,2,259000
3.15t,CG,S,2,1,3,259000
3.15t,CG,S,2,2,1,259000
3.15t,CG,S,2,2,2,259000
3.15t,CG,S,2,2,3,259000
3.15t,CG,S,2,4,1,259000
3.15t,CG,S,2,4,2,259000
3.15t,CG,S,2,4,3,259000
3.15t,CG,S,2,8,1,259000
3.15t,CG,S,2,8,2,259000
3.15t,CG,S,2,8,3,259000
3.15t,CG,S,2,16,1,259000
3.15t,CG,S,2,16,2,259000
3.15t,CG,S,2,16,3,259000
3.15t,CG,S,2,32,1,259000
3.15t,CG,S,2,32,2,259000
3.15t,CG,S,2,32,3,259000
3.15t,CG,S,3,1,1,259000
3.15t,CG,S,3,1,2,259000
3.15t,CG,S,3,1,3,259000
3.15t,CG,S,3,2,1,259000
3.15t,CG,S,3,2,2,259000
3.15t,CG,S,3,2,3,259000
3.15t,CG,S,3,4,1,259000
3.15t,CG,S,3,4,2,259000
3.15t,CG,S,3,4,3,259000
3.15t,CG,S,3,8,1,259000
3.15t,CG,S,3,8,2,259000
3.15t,CG,S,3,8,3,259000
3.15t,CG,S,3,16,1,259000
3.15t,CG,S,3,16,2,259000
3.15t,CG,S,3,16,3,259000
3.15t,CG,S,3,32,1,259000
3.15t,CG,S,3,32,2,259000
3.15t,CG,S,3,32,3,259000
3.15t,EP,S,0,1,1,259000
3.15t,EP,S,0,1,2,259000
3.15t,EP,S,0,1,3,259000
3.15t,EP,S,0,2,1,259000
3.15t,EP,S,0,2,2,259000
3.15t,EP,S,0,2,3,259000
3.15t,EP,S,0,4,1,259000
3.15t,EP,S,0,4,2,259000
3.15t,EP,S,0,4,3,259000
3.15t,EP,S,0,8,1,259000
3.15t,EP,S,0,8,2,259000
3.15t,EP,S,0,8,3,259000
3.15t,EP,S,0,16,1,259000
3.15t,EP,S,0,16,2,259000
3.15t,EP,S,0,16,3,259000
3.15t,EP,S,0,32,1,259000
3.15t,EP,S,0,32,2,259000
3.15t,EP,S,0,32,3,259000
3.15t,EP,S,1,1,1,259000
3.15t,EP,S,1,1,2,259000
3.15t,EP,S,1,1,3,259000
3.15t,EP,S,1,2,1,259000
3.15t,EP,S,1,2,2,259000
3.15t,EP,S,1,2,3,259000
3.15t,EP,S,1,4,1,259000
3.15t,EP,S,1,4,2,259000
3.15t,EP,S,1,4,3,259000
3.15t,EP,S,1,8,1,259000
3.15t,EP,S,1,8,2,259000
3.15t,EP,S,1,8,3,259000
3.15t,EP,S,1,16,1,259000
3.15t,EP,S,1,16,2,259000
3.15t,EP,S,1,16,3,259000
3.15t,EP,S,1,32,1,259000
3.15t,EP,S,1,32,2,259000
