python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.15t,CG,A,3,1,1,0,False,SUCCESSFUL,2.76,541.22,148.2068395614624,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t01__r01.txt
3.15t,CG,A,3,1,2,0,False,SUCCESSFUL,2.76,541.68,147.7522211074829,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t01__r02.txt
3.15t,CG,A,3,1,3,0,False,SUCCESSFUL,2.78,538.75,147.12592029571533,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t01__r03.txt
3.15t,CG,A,3,2,1,0,False,SUCCESSFUL,10.29,145.49,155.5522801876068,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t02__r01.txt
3.15t,CG,A,3,2,2,0,False,SUCCESSFUL,11.2,133.63,156.48695969581604,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t02__r02.txt
3.15t,CG,A,3,2,3,0,False,SUCCESSFUL,10.46,143.02,155.1376814842224,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t02__r03.txt
3.15t,CG,A,3,4,1,0,False,SUCCESSFUL,14.35,104.29,159.6479527950287,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t04__r01.txt
3.15t,CG,A,3,4,2,0,False,SUCCESSFUL,15.16,98.68,160.15649485588074,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t04__r02.txt
3.15t,CG,A,3,4,3,0,False,SUCCESSFUL,14.47,103.44,159.7117600440979,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t04__r03.txt
3.15t,CG,A,3,8,1,0,False,SUCCESSFUL,17.48,85.61,162.77578115463257,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t08__r01.txt
3.15t,CG,A,3,8,2,0,False,SUCCESSFUL,15.98,93.67,161.9055676460266,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t08__r02.txt
3.15t,CG,A,3,8,3,0,False,SUCCESSFUL,16.68,89.69,161.7089536190033,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t08__r03.txt
3.15t,CG,A,3,16,1,0,False,SUCCESSFUL,19.26,77.71,165.20507645606995,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t16__r01.txt
3.15t,CG,A,3,16,2,0,False,SUCCESSFUL,18.91,79.13,164.69582748413086,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t16__r02.txt
3.15t,CG,A,3,16,3,0,False,SUCCESSFUL,18.93,79.05,164.17583656311035,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t16__r03.txt
3.15t,CG,A,3,32,1,0,False,SUCCESSFUL,22.15,67.57,168.03555989265442,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r01.txt
3.15t,CG,A,3,32,2,0,False,SUCCESSFUL,21.17,70.68,166.0420105457306,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r02.txt
3.15t,CG,A,3,32,3,0,False,SUCCESSFUL,21.49,69.64,166.71194005012512,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-198,7255993,7,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__A__m3__t32__r03.txt
3.15t,CG,S,0,1,1,0,False,SUCCESSFUL,18.23,3.66,23.263251781463623,"3.15.0b1 free-threading build (main, May 16 2026, 13:41:26) [GCC 10.1.0]",ilk-152,7256035,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_full315_nopin/raw/py315t__CG__S__m0__t01__r01.txt
