python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.15t,CG,A,3,1,3,3,2.76,2.766666666666666,541.68,540.5500000000001
3.15t,CG,A,3,2,3,3,10.29,10.65,145.49,140.71333333333334
3.15t,CG,A,3,4,3,3,14.35,14.659999999999998,104.29,102.13666666666667
3.15t,CG,A,3,8,3,3,15.98,16.713333333333335,93.67,89.65666666666668
3.15t,CG,A,3,16,3,3,18.91,19.033333333333335,79.13,78.63
3.15t,CG,A,3,32,3,3,21.17,21.603333333333335,70.68,69.29666666666667
3.15t,CG,S,0,1,3,3,18.23,18.233333333333334,3.66,3.6566666666666667
3.15t,CG,S,0,2,3,3,14.12,15.043333333333331,4.72,4.44
3.15t,CG,S,0,4,3,3,11.1,11.44,6.01,5.830000000000001
3.15t,CG,S,0,8,3,3,12.87,13.176666666666668,5.18,5.06
3.15t,CG,S,0,16,3,3,14.46,14.83,4.61,4.5
3.15t,CG,S,0,32,3,3,19.06,19.97,3.5,3.3433333333333337
3.15t,CG,S,1,1,3,3,18.23,18.25,3.66,3.6533333333333338
3.15t,CG,S,1,2,3,3,14.73,14.783333333333333,4.53,4.513333333333334
3.15t,CG,S,1,4,3,3,11.15,11.569999999999999,5.98,5.7700000000000005
3.15t,CG,S,1,8,3,3,12.84,13.146666666666667,5.19,5.073333333333333
3.15t,CG,S,1,16,3,3,14.38,15.106666666666667,4.64,4.42
3.15t,CG,S,1,32,3,3,19.06,19.72666666666667,3.5,3.3833333333333333
3.15t,CG,S,2,1,3,3,16.35,16.543333333333333,4.08,4.033333333333333
3.15t,CG,S,2,2,3,3,8.55,8.603333333333333,7.8,7.746666666666666
3.15t,CG,S,2,4,3,3,4.77,4.783333333333334,13.98,13.943333333333333
3.15t,CG,S,2,8,3,3,3.27,3.2933333333333334,20.35,20.233333333333334
3.15t,CG,S,2,16,3,3,3.66,3.7099999999999995,18.21,17.97
3.15t,CG,S,2,32,3,3,6.99,7.303333333333334,9.53,9.133333333333333
3.15t,CG,S,3,1,3,3,0.13,0.13,519.88,519.0633333333333
3.15t,CG,S,3,2,3,3,0.45,0.4633333333333333,146.85,143.50333333333333
3.15t,CG,S,3,4,3,3,0.59,0.61,112.3,108.97333333333334
3.15t,CG,S,3,8,3,3,0.73,0.73,91.61,91.22333333333334
3.15t,CG,S,3,16,3,3,0.89,0.9066666666666667,75.18,73.80333333333333
3.15t,CG,S,3,32,3,3,0.86,0.9066666666666666,77.94,73.98
3.15t,CG,W,2,1,3,3,105.63,105.75999999999999,3.98,3.9766666666666666
3.15t,CG,W,2,2,3,3,53.75,54.053333333333335,7.83,7.78
3.15t,CG,W,2,4,3,3,27.73,27.756666666666664,15.17,15.153333333333334
3.15t,CG,W,2,8,3,3,14.94,15.013333333333334,28.15,28.013333333333332
3.15t,CG,W,2,16,3,3,10.87,11.073333333333332,38.69,38.00333333333333
3.15t,CG,W,2,32,3,3,13.6,13.856666666666667,30.94,30.366666666666664
3.15t,CG,W,3,1,3,3,0.78,0.7799999999999999,540.01,539.68
3.15t,CG,W,3,2,3,3,2.91,2.973333333333333,144.65,141.51666666666668
3.15t,CG,W,3,4,3,3,3.77,3.8066666666666666,111.67,110.49666666666667
3.15t,CG,W,3,8,3,3,4.42,4.569999999999999,95.26,92.11666666666667
3.15t,CG,W,3,16,3,3,5.24,5.326666666666667,80.3,78.97666666666667
3.15t,CG,W,3,32,3,3,5.51,5.640000000000001,76.28,74.58666666666666
3.15t,EP,A,3,1,3,3,22.99,23.00333333333333,23.35,23.336666666666662
3.15t,EP,A,3,2,3,3,11.48,11.586666666666668,46.75,46.330000000000005
3.15t,EP,A,3,4,3,3,5.75,5.776666666666666,93.37,92.92666666666666
3.15t,EP,A,3,8,3,3,2.88,2.883333333333333,186.47,186.14333333333332
3.15t,EP,A,3,16,3,3,2.9,2.9,185.18,185.01999999999998
3.15t,EP,A,3,32,3,3,2.19,2.1966666666666668,245.39,244.58333333333334
3.15t,EP,S,0,1,3,3,51.97,52.01333333333333,0.65,0.6466666666666666
3.15t,EP,S,0,2,3,3,26.42,26.546666666666667,1.27,1.2633333333333334
3.15t,EP,S,0,4,3,3,13.28,13.353333333333333,2.53,2.513333333333333
3.15t,EP,S,0,8,3,3,6.63,6.683333333333333,5.06,5.02
3.15t,EP,S,0,16,3,3,3.35,3.3633333333333333,10.02,9.976666666666667
3.15t,EP,S,0,32,3,3,2.18,2.3733333333333335,15.4,14.183333333333332
3.15t,EP,S,1,1,3,3,50.45,50.69,0.67,0.6633333333333334
3.15t,EP,S,1,2,3,3,25.62,25.733333333333334,1.31,1.3066666666666669
3.15t,EP,S,1,4,3,3,12.87,12.913333333333332,2.61,2.5966666666666662
3.15t,EP,S,1,8,3,3,6.45,6.46,5.2,5.193333333333334
3.15t,EP,S,1,16,3,3,3.31,3.396666666666667,10.13,9.873333333333333
