python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,warmup_wall_seconds,perf_task_clock_ms,perf_cpus_utilized,perf_cycles,perf_instructions,perf_ipc,perf_cache_references,perf_cache_misses,perf_cache_miss_ratio,perf_context_switches,perf_cpu_migrations,python_version,node,raw_log
3.13t,CG,W,3,1,1,0,False,SUCCESSFUL,0.76,552.6,17.285670042037964,72.79269480705261,20841.67,1.209,57948513414,156854021672,2.7067824941667107,98203576,5605527,0.05708068105381417,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__CG__W__m3__t01__r01.txt
3.13t,CG,W,3,8,1,0,False,SUCCESSFUL,4.56,92.26,21.342973947525024,21.203993320465088,55891.37,2.623,155447131967,156990847476,1.0099308072748985,277088435,5404826,0.019505779806363987,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__CG__W__m3__t08__r01.txt
3.13t,CG,W,3,32,1,0,False,SUCCESSFUL,5.67,74.24,22.56632161140442,22.712275743484497,141870.32,6.297,393420683332,157740941174,0.4009472502514198,365486217,123270354,0.33727770916187516,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__CG__W__m3__t32__r01.txt
3.13t,IS,W,3,1,1,0,False,SUCCESSFUL,0.03,315.62,1.6832330226898193,85.92384600639343,5279.67,3.207,14406765088,13881798336,0.9635610944723971,42683661,9619012,0.22535583346517535,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__IS__W__m3__t01__r01.txt
3.13t,IS,W,3,8,1,0,False,SUCCESSFUL,0.02,445.23,1.656177282333374,1.4860358238220215,2733.92,1.689,7264194997,9879843153,1.3600740559800806,43580778,13404955,0.30758870344168704,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__IS__W__m3__t08__r01.txt
3.13t,IS,W,3,32,1,0,False,SUCCESSFUL,0.08,137.48,1.5236992835998535,1.4810028076171875,5513.53,3.713,14839227197,14704758916,0.9909383231879363,53120439,12286918,0.23130302066968988,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__IS__W__m3__t32__r01.txt
3.13t,MG,W,3,1,1,0,False,SUCCESSFUL,0.45,1089.5,2.3977370262145996,175.42962908744812,5990.69,2.536,16372976322,22405680248,1.3684549349707416,60481337,14474291,0.239318304091062,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-221,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__MG__W__m3__t01__r01.txt
3.13t,MG,W,3,8,1,0,False,SUCCESSFUL,0.6,805.14,2.5448360443115234,3.4634759426116943,9173.75,3.664,24871092570,20442873966,0.8219531935906425,108407613,68966500,0.6361776455681207,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__MG__W__m3__t08__r01.txt
3.13t,MG,W,3,32,1,0,False,SUCCESSFUL,0.91,532.16,3.1519150733947754,2.9437108039855957,14455.03,4.643,37748280612,21245006103,0.5628072526367284,161453802,69744542,0.4319783190983635,0,0,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-12,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py313t__MG__W__m3__t32__r01.txt
3.14t,CG,W,3,1,1,0,False,SUCCESSFUL,0.76,555.26,18.00466251373291,62.466482162475586,21459.26,1.202,59701593106,158716797706,2.6585018832612857,93886289,5474202,0.05830672463792876,0,0,"3.14.4 free-threading build (main, May 25 2026, 19:26:08) [GCC 10.1.0]",ilk-62,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_profile_versions_core_nopin/raw/py314t__CG__W__m3__t01__r01.txt
