python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_cpus_utilized,mean_cpus_utilized,best_ipc,mean_ipc,best_cache_miss_ratio,mean_cache_miss_ratio
3.13t,CG,W,3,1,1,1,0.76,0.76,1.209,1.209,2.7067824941667107,2.7067824941667107,0.05708068105381417,0.05708068105381417
3.13t,CG,W,3,8,1,1,4.56,4.56,2.623,2.623,1.0099308072748985,1.0099308072748985,0.019505779806363987,0.019505779806363987
3.13t,CG,W,3,32,1,1,5.67,5.67,6.297,6.297,0.4009472502514198,0.4009472502514198,0.33727770916187516,0.33727770916187516
3.13t,IS,W,3,1,1,1,0.03,0.03,3.207,3.207,0.9635610944723971,0.9635610944723971,0.22535583346517535,0.22535583346517535
3.13t,IS,W,3,8,1,1,0.02,0.02,1.689,1.689,1.3600740559800806,1.3600740559800806,0.30758870344168704,0.30758870344168704
3.13t,IS,W,3,32,1,1,0.08,0.08,3.713,3.713,0.9909383231879363,0.9909383231879363,0.23130302066968988,0.23130302066968988
3.13t,MG,W,3,1,1,1,0.45,0.45,2.536,2.536,1.3684549349707416,1.3684549349707416,0.239318304091062,0.239318304091062
3.13t,MG,W,3,8,1,1,0.6,0.6,3.664,3.664,0.8219531935906425,0.8219531935906425,0.6361776455681207,0.6361776455681207
3.13t,MG,W,3,32,1,1,0.91,0.91,4.643,4.643,0.5628072526367284,0.5628072526367284,0.4319783190983635,0.4319783190983635
3.14t,CG,W,3,1,1,1,0.76,0.76,1.202,1.202,2.6585018832612857,2.6585018832612857,0.05830672463792876,0.05830672463792876
3.14t,CG,W,3,8,1,1,4.49,4.49,2.583,2.583,1.018711818620587,1.018711818620587,0.03579101791754661,0.03579101791754661
3.14t,CG,W,3,32,1,1,5.81,5.81,6.052,6.052,0.40832878922124827,0.40832878922124827,0.521971506591084,0.521971506591084
3.14t,EP,W,3,1,1,1,2.87,2.87,1.898,1.898,0.8614512196963465,0.8614512196963465,0.13867477119793406,0.13867477119793406
3.14t,EP,W,3,8,1,1,0.36,0.36,3.093,3.093,1.01891008904166,1.01891008904166,0.2198434511284553,0.2198434511284553
3.14t,EP,W,3,16,1,1,0.37,0.37,5.082,5.082,0.8626102053249497,0.8626102053249497,0.14110317267199493,0.14110317267199493
3.14t,EP,W,3,32,1,1,0.29,0.29,4.682,4.682,0.8955401181603229,0.8955401181603229,0.3331429705564551,0.3331429705564551
3.14t,FT,W,3,1,1,1,5.0,5.0,1.298,1.298,2.1080466908649775,2.1080466908649775,0.13691661096812888,0.13691661096812888
3.14t,FT,W,3,8,1,1,0.67,0.67,5.445,5.445,1.8573026081083048,1.8573026081083048,0.08466782410975761,0.08466782410975761
3.14t,FT,W,3,16,1,1,0.42,0.42,6.814,6.814,1.7687286496277268,1.7687286496277268,0.08080230236425329,0.08080230236425329
3.14t,FT,W,3,32,1,1,0.64,0.64,7.248,7.248,1.546599405183284,1.546599405183284,0.4045048288790552,0.4045048288790552
3.14t,IS,W,3,1,1,1,0.03,0.03,2.875,2.875,1.0189819748042197,1.0189819748042197,0.1979606134300482,0.1979606134300482
3.14t,IS,W,3,8,1,1,0.02,0.02,3.914,3.914,0.9413681580936966,0.9413681580936966,0.24477172894027613,0.24477172894027613
3.14t,IS,W,3,32,1,1,0.08,0.08,3.896,3.896,0.9623234958931391,0.9623234958931391,0.2684588975785627,0.2684588975785627
