python_tag,benchmark,class,mode,threads,rep,timeout
3.13t,CG,S,2,2,1,259000
3.14t,CG,S,2,2,1,259000
3.15t,CG,S,2,2,1,259000
3.13t,CG,S,2,2,2,259000
3.14t,CG,S,2,2,2,259000
3.15t,CG,S,2,2,2,259000
3.13t,CG,S,2,2,3,259000
3.14t,CG,S,2,2,3,259000
3.15t,CG,S,2,2,3,259000
3.13t,CG,S,2,2,4,259000
3.14t,CG,S,2,2,4,259000
3.15t,CG,S,2,2,4,259000
3.13t,CG,S,2,2,5,259000
3.14t,CG,S,2,2,5,259000
3.15t,CG,S,2,2,5,259000
3.13t,CG,S,2,8,1,259000
3.14t,CG,S,2,8,1,259000
3.15t,CG,S,2,8,1,259000
3.13t,CG,S,2,8,2,259000
3.14t,CG,S,2,8,2,259000
3.15t,CG,S,2,8,2,259000
3.13t,CG,S,2,8,3,259000
3.14t,CG,S,2,8,3,259000
3.15t,CG,S,2,8,3,259000
3.13t,CG,S,2,8,4,259000
3.14t,CG,S,2,8,4,259000
3.15t,CG,S,2,8,4,259000
3.13t,CG,S,2,8,5,259000
3.14t,CG,S,2,8,5,259000
3.15t,CG,S,2,8,5,259000
3.13t,CG,S,3,2,1,259000
3.14t,CG,S,3,2,1,259000
3.15t,CG,S,3,2,1,259000
3.13t,CG,S,3,2,2,259000
3.14t,CG,S,3,2,2,259000
3.15t,CG,S,3,2,2,259000
3.13t,CG,S,3,2,3,259000
3.14t,CG,S,3,2,3,259000
3.15t,CG,S,3,2,3,259000
3.13t,CG,S,3,2,4,259000
3.14t,CG,S,3,2,4,259000
3.15t,CG,S,3,2,4,259000
3.13t,CG,S,3,2,5,259000
3.14t,CG,S,3,2,5,259000
3.15t,CG,S,3,2,5,259000
3.13t,CG,S,3,8,1,259000
3.14t,CG,S,3,8,1,259000
3.15t,CG,S,3,8,1,259000
3.13t,CG,S,3,8,2,259000
3.14t,CG,S,3,8,2,259000
3.15t,CG,S,3,8,2,259000
3.13t,CG,S,3,8,3,259000
3.14t,CG,S,3,8,3,259000
3.15t,CG,S,3,8,3,259000
3.13t,CG,S,3,8,4,259000
3.14t,CG,S,3,8,4,259000
3.15t,CG,S,3,8,4,259000
3.13t,CG,S,3,8,5,259000
3.14t,CG,S,3,8,5,259000
3.15t,CG,S,3,8,5,259000
3.13t,EP,S,2,2,1,259000
3.14t,EP,S,2,2,1,259000
3.15t,EP,S,2,2,1,259000
3.13t,EP,S,2,2,2,259000
3.14t,EP,S,2,2,2,259000
3.15t,EP,S,2,2,2,259000
3.13t,EP,S,2,2,3,259000
3.14t,EP,S,2,2,3,259000
3.15t,EP,S,2,2,3,259000
3.13t,EP,S,2,2,4,259000
3.14t,EP,S,2,2,4,259000
3.15t,EP,S,2,2,4,259000
3.13t,EP,S,2,2,5,259000
3.14t,EP,S,2,2,5,259000
3.15t,EP,S,2,2,5,259000
3.13t,EP,S,2,8,1,259000
3.14t,EP,S,2,8,1,259000
3.15t,EP,S,2,8,1,259000
3.13t,EP,S,2,8,2,259000
3.14t,EP,S,2,8,2,259000
3.15t,EP,S,2,8,2,259000
3.13t,EP,S,2,8,3,259000
3.14t,EP,S,2,8,3,259000
3.15t,EP,S,2,8,3,259000
3.13t,EP,S,2,8,4,259000
3.14t,EP,S,2,8,4,259000
3.15t,EP,S,2,8,4,259000
3.13t,EP,S,2,8,5,259000
3.14t,EP,S,2,8,5,259000
3.15t,EP,S,2,8,5,259000
3.13t,EP,S,3,2,1,259000
3.14t,EP,S,3,2,1,259000
3.15t,EP,S,3,2,1,259000
3.13t,EP,S,3,2,2,259000
3.14t,EP,S,3,2,2,259000
3.15t,EP,S,3,2,2,259000
3.13t,EP,S,3,2,3,259000
3.14t,EP,S,3,2,3,259000
3.15t,EP,S,3,2,3,259000
3.13t,EP,S,3,2,4,259000
3.14t,EP,S,3,2,4,259000
3.15t,EP,S,3,2,4,259000
3.13t,EP,S,3,2,5,259000
3.14t,EP,S,3,2,5,259000
3.15t,EP,S,3,2,5,259000
3.13t,EP,S,3,8,1,259000
3.14t,EP,S,3,8,1,259000
3.15t,EP,S,3,8,1,259000
3.13t,EP,S,3,8,2,259000
3.14t,EP,S,3,8,2,259000
3.15t,EP,S,3,8,2,259000
3.13t,EP,S,3,8,3,259000
3.14t,EP,S,3,8,3,259000
3.15t,EP,S,3,8,3,259000
3.13t,EP,S,3,8,4,259000
3.14t,EP,S,3,8,4,259000
3.15t,EP,S,3,8,4,259000
3.13t,EP,S,3,8,5,259000
3.14t,EP,S,3,8,5,259000
3.15t,EP,S,3,8,5,259000
3.13t,FT,S,2,2,1,259000
3.14t,FT,S,2,2,1,259000
3.15t,FT,S,2,2,1,259000
3.13t,FT,S,2,2,2,259000
3.14t,FT,S,2,2,2,259000
3.15t,FT,S,2,2,2,259000
3.13t,FT,S,2,2,3,259000
3.14t,FT,S,2,2,3,259000
3.15t,FT,S,2,2,3,259000
3.13t,FT,S,2,2,4,259000
3.14t,FT,S,2,2,4,259000
3.15t,FT,S,2,2,4,259000
3.13t,FT,S,2,2,5,259000
3.14t,FT,S,2,2,5,259000
3.15t,FT,S,2,2,5,259000
3.13t,FT,S,2,8,1,259000
3.14t,FT,S,2,8,1,259000
3.15t,FT,S,2,8,1,259000
3.13t,FT,S,2,8,2,259000
3.14t,FT,S,2,8,2,259000
