python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,S,2,2,1,0,False,SUCCESSFUL,7.39,9.02,62.98207426071167,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t02__r01.txt
3.13t,CG,S,2,2,2,0,False,SUCCESSFUL,7.42,8.98,61.92250847816467,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t02__r02.txt
3.13t,CG,S,2,2,3,0,False,SUCCESSFUL,7.37,9.04,61.84308457374573,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t02__r03.txt
3.13t,CG,S,2,2,4,0,False,SUCCESSFUL,7.38,9.03,61.8592574596405,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t02__r04.txt
3.13t,CG,S,2,2,5,0,False,SUCCESSFUL,7.46,8.93,61.88896584510803,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t02__r05.txt
3.13t,CG,S,2,8,1,0,False,SUCCESSFUL,2.64,25.25,56.734193563461304,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t08__r01.txt
3.13t,CG,S,2,8,2,0,False,SUCCESSFUL,2.64,25.27,56.705564975738525,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t08__r02.txt
3.13t,CG,S,2,8,3,0,False,SUCCESSFUL,2.62,25.47,56.855674505233765,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t08__r03.txt
3.13t,CG,S,2,8,4,0,False,SUCCESSFUL,2.63,25.36,56.76914620399475,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t08__r04.txt
3.13t,CG,S,2,8,5,0,False,SUCCESSFUL,2.64,25.22,56.771706104278564,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-172,7256580,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_extra_threads_nopin/raw/py313t__CG__S__m2__t08__r05.txt
