python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.13t,CG,S,2,2,5,5,7.37,7.403999999999999,9.04,9.0
3.13t,CG,S,2,8,5,5,2.62,2.6340000000000003,25.47,25.314
3.13t,CG,S,3,2,5,5,0.48,0.502,138.27,133.06199999999998
3.13t,CG,S,3,8,5,5,0.72,0.74,92.61,90.09200000000001
3.13t,CG,W,2,2,3,3,46.22,46.39333333333334,9.1,9.066666666666666
3.13t,CG,W,2,8,3,3,12.47,12.506666666666666,33.73,33.629999999999995
3.13t,CG,W,3,2,3,3,2.88,3.043333333333333,145.88,138.28
3.13t,CG,W,3,8,3,3,4.46,4.653333333333333,94.4,90.56
3.13t,EP,S,2,2,5,5,18.57,18.612000000000002,1.81,1.8040000000000003
3.13t,EP,S,2,8,5,5,4.66,4.73,7.2,7.095999999999999
3.13t,EP,S,3,2,5,5,0.72,0.72,46.56,46.492000000000004
3.13t,EP,S,3,8,5,5,0.19,0.19,180.59,179.78199999999998
3.13t,EP,W,2,2,3,3,37.26,37.303333333333335,1.8,1.8
3.13t,EP,W,2,8,3,3,9.31,9.38,7.21,7.156666666666666
3.13t,EP,W,3,2,3,3,1.44,1.4400000000000002,46.67,46.629999999999995
3.13t,EP,W,3,8,3,3,0.37,0.36999999999999994,181.85,181.53666666666666
3.13t,FT,S,2,2,5,5,20.56,20.964000000000002,8.62,8.456
3.13t,FT,S,2,8,5,5,7.25,7.5200000000000005,24.44,23.613999999999997
3.13t,FT,S,3,2,5,5,1.19,1.216,148.61,145.61200000000002
3.13t,FT,S,3,8,5,5,0.33,0.346,538.19,511.92600000000004
3.13t,FT,W,2,2,3,3,46.71,47.120000000000005,7.98,7.91
3.13t,FT,W,2,8,3,3,16.41,16.73,22.7,22.27333333333333
3.13t,FT,W,3,2,3,3,2.37,2.3866666666666667,157.57,156.28333333333333
3.13t,FT,W,3,8,3,3,0.63,0.6433333333333334,588.39,579.46
3.13t,IS,S,2,2,5,5,0.16,0.16,4.17,4.098000000000001
3.13t,IS,S,2,8,5,5,0.09,0.09,7.44,7.386
3.13t,IS,S,3,2,5,5,0.0,0.0,233.86,199.394
3.13t,IS,S,3,8,5,5,0.01,0.01,114.69,103.81000000000002
3.13t,IS,W,2,2,3,3,2.78,2.783333333333333,3.77,3.766666666666666
3.13t,IS,W,2,8,3,3,2.1,2.11,5.0,4.973333333333334
3.13t,IS,W,3,2,3,3,0.02,0.02,503.58,499.3433333333333
3.13t,IS,W,3,8,3,3,0.02,0.02,528.14,523.3100000000001
3.13t,MG,S,2,2,5,5,1.45,1.458,5.23,5.21
3.13t,MG,S,2,8,5,5,0.42,0.426,17.99,17.82
3.13t,MG,S,3,2,5,5,0.02,0.02,397.62,386.344
3.13t,MG,S,3,8,5,5,0.05,0.05,157.55,154.882
3.13t,MG,W,2,2,3,3,86.18,86.71999999999998,5.65,5.609999999999999
3.13t,MG,W,2,8,3,3,21.91,21.99,22.21,22.126666666666665
3.13t,MG,W,3,2,3,3,0.55,0.56,880.24,869.5333333333334
3.13t,MG,W,3,8,3,3,0.54,0.5533333333333333,903.23,884.21
3.14t,CG,S,2,2,5,5,8.18,8.278,8.15,8.052
3.14t,CG,S,2,8,5,5,3.2,3.242,20.83,20.560000000000002
3.14t,CG,S,3,2,5,5,0.47,0.492,142.21,135.142
3.14t,CG,S,3,8,5,5,0.71,0.738,93.72,90.44800000000001
3.14t,CG,W,2,2,3,3,50.87,53.21333333333333,8.27,7.919999999999999
3.14t,CG,W,2,8,3,3,14.45,15.006666666666666,29.1,28.070000000000004
3.14t,CG,W,3,2,3,3,2.78,2.8666666666666667,151.49,147.03
3.14t,CG,W,3,8,3,3,4.46,4.486666666666667,94.38,93.76666666666665
3.14t,EP,S,2,2,5,5,21.58,21.723999999999997,1.56,1.546
3.14t,EP,S,2,8,5,5,5.41,5.452,6.2,6.151999999999999
3.14t,EP,S,3,2,5,5,0.72,0.736,46.72,45.739999999999995
3.14t,EP,S,3,8,5,5,0.18,0.184,183.43,181.826
3.14t,EP,W,2,2,3,3,43.66,43.75,1.54,1.5333333333333332
3.14t,EP,W,2,8,3,3,10.88,10.936666666666667,6.17,6.136666666666667
3.14t,EP,W,3,2,3,3,1.44,1.4400000000000002,46.7,46.69
3.14t,EP,W,3,8,3,3,0.36,0.3666666666666667,185.08,182.64333333333335
3.14t,FT,S,2,2,5,5,22.61,22.894,7.84,7.74
3.14t,FT,S,2,8,5,5,7.8,8.394,22.73,21.154
3.14t,FT,S,3,2,5,5,1.25,1.284,141.38,138.22
3.14t,FT,S,3,8,5,5,0.35,0.358,506.33,494.654
3.14t,FT,W,2,2,3,3,51.93,54.04,7.18,6.91
3.14t,FT,W,2,8,3,3,18.16,18.326666666666668,20.53,20.34
3.14t,FT,W,3,2,3,3,2.49,2.5066666666666664,149.71,148.55666666666667
3.14t,FT,W,3,8,3,3,0.67,0.6733333333333333,559.23,556.0866666666667
3.14t,IS,S,2,2,5,5,0.16,0.162,4.04,3.968000000000001
3.14t,IS,S,2,8,5,5,0.09,0.094,6.99,6.892
3.14t,IS,S,3,2,5,5,0.0,0.0,215.98,194.772
3.14t,IS,S,3,8,5,5,0.01,0.01,90.06,83.08
3.14t,IS,W,2,2,3,3,2.89,2.9633333333333334,3.63,3.546666666666667
3.14t,IS,W,2,8,3,3,2.23,2.23,4.71,4.7
3.14t,IS,W,3,2,3,3,0.02,0.02,504.46,495.4833333333333
3.14t,IS,W,3,8,3,3,0.02,0.02,496.83,492.16333333333336
3.14t,MG,S,2,2,5,5,1.63,1.7259999999999998,4.66,4.414
3.14t,MG,S,2,8,5,5,0.5,0.516,15.24,14.711999999999998
3.14t,MG,S,3,2,5,5,0.02,0.02,399.69,377.62399999999997
3.14t,MG,S,3,8,5,5,0.05,0.05,146.35,143.274
3.14t,MG,W,2,2,3,3,97.54,101.76,4.99,4.793333333333334
3.14t,MG,W,2,8,3,3,25.05,25.55333333333333,19.42,19.040000000000003
3.14t,MG,W,3,2,3,3,0.56,0.57,866.7,856.9633333333333
3.14t,MG,W,3,8,3,3,0.51,0.5166666666666667,960.68,944.2166666666666
3.15t,CG,S,2,2,5,5,8.43,8.478,7.91,7.864
3.15t,CG,S,2,8,5,5,3.21,3.2299999999999995,20.75,20.634
3.15t,CG,S,3,2,5,5,0.46,0.484,145.59,137.822
3.15t,CG,S,3,8,5,5,0.7,0.732,95.45,91.18999999999998
3.15t,CG,W,2,2,3,3,53.56,53.88,7.85,7.8066666666666675
3.15t,CG,W,2,8,3,3,14.76,14.806666666666667,28.5,28.406666666666666
3.15t,CG,W,3,2,3,3,2.77,2.8900000000000006,151.85,145.73
3.15t,CG,W,3,8,3,3,4.6,4.6499999999999995,91.53,90.50666666666666
3.15t,EP,S,2,2,5,5,21.42,21.522,1.57,1.5619999999999998
3.15t,EP,S,2,8,5,5,5.39,5.552,6.22,6.0440000000000005
3.15t,EP,S,3,2,5,5,0.72,0.72,46.65,46.632
3.15t,EP,S,3,8,5,5,0.18,0.186,181.56,181.058
3.15t,EP,W,2,2,3,3,43.1,43.673333333333325,1.56,1.5366666666666668
3.15t,EP,W,2,8,3,3,10.79,10.83,6.22,6.196666666666666
3.15t,EP,W,3,2,3,3,1.44,1.4400000000000002,46.7,46.666666666666664
3.15t,EP,W,3,8,3,3,0.36,0.3666666666666667,183.98,183.36
3.15t,FT,S,2,2,5,5,20.67,21.224,8.57,8.35
3.15t,FT,S,2,8,5,5,7.37,7.478,24.03,23.695999999999998
3.15t,FT,S,3,2,5,5,1.26,1.266,141.06,140.01799999999997
3.15t,FT,S,3,8,5,5,0.35,0.36000000000000004,503.51,491.9440000000001
3.15t,FT,W,2,2,3,3,46.83,46.99666666666667,7.96,7.933333333333334
3.15t,FT,W,2,8,3,3,16.47,16.61,22.63,22.436666666666667
3.15t,FT,W,3,2,3,3,2.53,2.5399999999999996,147.31,146.60999999999999
3.15t,FT,W,3,8,3,3,0.67,0.6766666666666667,553.6,550.0
3.15t,IS,S,2,2,5,5,0.17,0.17200000000000001,3.91,3.8280000000000003
3.15t,IS,S,2,8,5,5,0.1,0.1,6.64,6.540000000000001
3.15t,IS,S,3,2,5,5,0.0,0.0,204.35,187.784
3.15t,IS,S,3,8,5,5,0.01,0.01,85.67,80.552
3.15t,IS,W,2,2,3,3,3.14,3.1466666666666665,3.34,3.3333333333333335
3.15t,IS,W,2,8,3,3,2.48,2.48,4.23,4.23
3.15t,IS,W,3,2,3,3,0.02,0.02,496.91,483.31
3.15t,IS,W,3,8,3,3,0.02,0.02,485.01,475.97
3.15t,MG,S,2,2,5,5,1.66,1.666,4.57,4.566
3.15t,MG,S,2,8,5,5,0.49,0.49399999999999994,15.48,15.379999999999999
3.15t,MG,S,3,2,5,5,0.02,0.02,369.87,360.20200000000006
3.15t,MG,S,3,8,5,5,0.06,0.06,137.89,134.0
3.15t,MG,W,2,2,3,3,98.88,99.77333333333333,4.92,4.876666666666666
3.15t,MG,W,2,8,3,3,25.09,25.23,19.39,19.286666666666665
3.15t,MG,W,3,2,3,3,0.57,0.5766666666666667,858.98,846.41
