python_tag,benchmark,class,mode,threads,rep,returncode,timed_out,verification,npb_seconds,mops,wall_seconds,python_version,node,slurm_job_id,slurm_array_task_id,raw_log
3.13t,CG,S,2,1,1,0,False,SUCCESSFUL,14.4,4.63,70.75613188743591,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t01__r01.txt
3.13t,CG,S,2,1,2,0,False,SUCCESSFUL,14.34,4.65,69.1356770992279,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t01__r02.txt
3.13t,CG,S,2,1,3,0,False,SUCCESSFUL,14.36,4.64,69.14310908317566,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t01__r03.txt
3.13t,CG,S,2,1,4,0,False,SUCCESSFUL,14.45,4.61,69.23633217811584,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t01__r04.txt
3.13t,CG,S,2,1,5,0,False,SUCCESSFUL,14.27,4.67,68.99233889579773,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t01__r05.txt
3.13t,CG,S,2,4,1,0,False,SUCCESSFUL,4.1,16.27,58.22792387008667,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t04__r01.txt
3.13t,CG,S,2,4,2,0,False,SUCCESSFUL,4.08,16.32,58.07461190223694,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t04__r02.txt
3.13t,CG,S,2,4,3,0,False,SUCCESSFUL,4.09,16.31,58.148868560791016,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t04__r03.txt
3.13t,CG,S,2,4,4,0,False,SUCCESSFUL,4.11,16.23,58.111838817596436,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t04__r04.txt
3.13t,CG,S,2,4,5,0,False,SUCCESSFUL,4.1,16.27,58.21451210975647,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t04__r05.txt
3.13t,CG,S,2,16,1,0,False,SUCCESSFUL,2.6,25.6,56.67406129837036,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t16__r01.txt
3.13t,CG,S,2,16,2,0,False,SUCCESSFUL,2.6,25.62,56.46240949630737,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t16__r02.txt
3.13t,CG,S,2,16,3,0,False,SUCCESSFUL,2.64,25.25,56.692405700683594,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t16__r03.txt
3.13t,CG,S,2,16,4,0,False,SUCCESSFUL,2.7,24.65,56.72196650505066,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t16__r04.txt
3.13t,CG,S,2,16,5,0,False,SUCCESSFUL,2.66,25.06,56.66907811164856,"3.13.13 experimental free-threading build (main, May 25 2026, 19:13:05) [GCC 10.1.0]",ilk-168,7256495,1,/mnt/netapp2/Store_uni/home/ulc/cursos/curso380/omp4py_TFM/results/20260531_202503_versions_nopin/raw/py313t__CG__S__m2__t16__r05.txt
