python_tag,benchmark,class,mode,threads,runs,successful_runs,best_seconds,mean_seconds,best_mops,mean_mops
3.13t,CG,S,2,1,5,5,14.27,14.363999999999999,4.67,4.640000000000001
3.13t,CG,S,2,4,5,5,4.08,4.095999999999999,16.32,16.28
3.13t,CG,S,2,16,5,5,2.6,2.6399999999999997,25.62,25.236
3.13t,CG,S,2,32,5,5,4.28,4.3020000000000005,15.58,15.494
3.13t,CG,S,3,1,5,5,0.12,0.122,545.87,537.0319999999999
3.13t,CG,S,3,4,5,5,0.65,0.658,103.14,101.546
3.13t,CG,S,3,16,5,5,0.86,0.876,77.07,76.128
3.13t,CG,S,3,32,5,5,0.91,0.932,73.0,71.614
3.13t,CG,W,2,1,3,3,91.32,91.64999999999999,4.61,4.59
3.13t,CG,W,2,4,3,3,23.77,23.95,17.7,17.563333333333333
3.13t,CG,W,2,16,3,3,7.91,8.233333333333334,53.17,51.223333333333336
3.13t,CG,W,2,32,3,3,10.47,10.623333333333333,40.18,39.60333333333333
3.13t,CG,W,3,1,3,3,0.76,0.7633333333333333,553.26,551.5466666666667
3.13t,CG,W,3,4,3,3,4.16,4.163333333333333,101.19,101.04666666666667
3.13t,CG,W,3,16,3,3,5.49,5.5633333333333335,76.61,75.63333333333334
3.13t,CG,W,3,32,3,3,5.63,5.703333333333333,74.66,73.74
3.13t,EP,S,2,1,5,5,36.6,36.666,0.92,0.9180000000000001
3.13t,EP,S,2,4,5,5,9.27,9.34,3.62,3.594
3.13t,EP,S,2,16,5,5,2.49,2.5159999999999996,13.49,13.35
3.13t,EP,S,2,32,5,5,1.48,1.4940000000000002,22.73,22.478
3.13t,EP,S,3,1,5,5,1.43,1.436,23.41,23.369999999999997
3.13t,EP,S,3,4,5,5,0.36,0.36,92.23,92.176
3.13t,EP,S,3,16,5,5,0.19,0.19,177.07,176.51600000000002
3.13t,EP,S,3,32,5,5,0.15,0.15,222.49,221.86400000000003
3.13t,EP,W,2,1,3,3,73.08,73.52333333333333,0.92,0.9133333333333334
3.13t,EP,W,2,4,3,3,18.53,18.683333333333334,3.62,3.5933333333333333
3.13t,EP,W,2,16,3,3,4.83,4.8566666666666665,13.91,13.819999999999999
3.13t,EP,W,2,32,3,3,2.79,2.796666666666667,24.08,24.00333333333333
3.13t,EP,W,3,1,3,3,2.86,2.8633333333333333,23.44,23.423333333333336
3.13t,EP,W,3,4,3,3,0.72,0.7233333333333333,92.83,92.37
3.13t,EP,W,3,16,3,3,0.37,0.38000000000000006,180.92,176.45666666666668
3.13t,EP,W,3,32,3,3,0.29,0.29,234.23,233.72
3.13t,FT,S,2,1,5,5,35.48,36.118,4.99,4.904000000000001
3.13t,FT,S,2,4,5,5,11.72,11.886,15.12,14.906
3.13t,FT,S,2,16,5,5,6.36,6.568,27.84,26.982
3.13t,FT,S,2,32,5,5,7.7,7.824000000000001,23.01,22.652
3.13t,FT,S,3,1,5,5,2.3,2.308,77.07,76.75399999999999
3.13t,FT,S,3,4,5,5,0.62,0.62,286.75,285.192
3.13t,FT,S,3,16,5,5,0.2,0.202,884.4,865.8979999999999
3.13t,FT,S,3,32,5,5,0.22,0.236,797.21,748.868
3.13t,FT,W,2,1,3,3,82.84,83.06666666666666,4.5,4.486666666666667
3.13t,FT,W,2,4,3,3,25.81,26.413333333333338,14.44,14.113333333333335
3.13t,FT,W,2,16,3,3,15.29,15.62,24.37,23.86
3.13t,FT,W,2,32,3,3,17.22,17.373333333333335,21.64,21.453333333333333
3.13t,FT,W,3,1,3,3,4.54,4.683333333333334,82.15,79.70333333333333
3.13t,FT,W,3,4,3,3,1.2,1.2066666666666668,309.44,308.63666666666666
3.13t,FT,W,3,16,3,3,0.38,0.38000000000000006,984.97,982.0200000000001
3.13t,FT,W,3,32,3,3,0.4,0.42333333333333334,939.35,886.4366666666666
